glyph_name,sort_final,sort_design,usv
.notdef,0,20000,
.null,1,20001,
nonmarkingreturn,2,20002,
space,3,20003,0020
exclam,4,20004,0021
quotedbl,5,20005,0022
numbersign,6,20006,0023
dollar,7,20007,0024
percent,8,20008,0025
ampersand,9,20009,0026
quotesingle,10,20010,0027
parenleft,11,20011,0028
parenright,12,20012,0029
asterisk,13,20013,002A
plus,14,20014,002B
comma,15,20015,002C
hyphen,16,20016,002D
period,17,20017,002E
slash,18,20018,002F
zero,19,20019,0030
one,20,20020,0031
two,21,20021,0032
three,22,20022,0033
four,23,20023,0034
five,24,20024,0035
six,25,20025,0036
seven,26,20026,0037
eight,27,20027,0038
nine,28,20028,0039
colon,29,20029,003A
semicolon,30,20030,003B
less,31,20031,003C
equal,32,20032,003D
greater,33,20033,003E
question,34,20034,003F
at,35,20035,0040
A,36,20036,0041
B,37,20037,0042
C,38,20038,0043
D,39,20039,0044
E,40,20040,0045
F,41,20041,0046
G,42,20042,0047
H,43,20043,0048
I,44,20044,0049
J,45,20045,004A
K,46,20046,004B
L,47,20047,004C
M,48,20048,004D
N,49,20049,004E
O,50,20050,004F
P,51,20051,0050
Q,52,20052,0051
R,53,20053,0052
S,54,20054,0053
T,55,20055,0054
U,56,20056,0055
V,57,20057,0056
W,58,20058,0057
X,59,20059,0058
Y,60,20060,0059
Z,61,20061,005A
bracketleft,62,20062,005B
backslash,63,20063,005C
bracketright,64,20064,005D
asciicircum,65,20065,005E
underscore,66,20066,005F
grave,67,20067,0060
a,68,20068,0061
b,69,20069,0062
c,70,20070,0063
d,71,20071,0064
e,72,20072,0065
f,73,20073,0066
g,74,20074,0067
h,75,20075,0068
i,76,20076,0069
j,77,20077,006A
k,78,20078,006B
l,79,20079,006C
m,80,20080,006D
n,81,20081,006E
o,82,20082,006F
p,83,20083,0070
q,84,20084,0071
r,85,20085,0072
s,86,20086,0073
t,87,20087,0074
u,88,20088,0075
v,89,20089,0076
w,90,20090,0077
x,91,20091,0078
y,92,20092,0079
z,93,20093,007A
braceleft,94,20094,007B
bar,95,20095,007C
braceright,96,20096,007D
asciitilde,97,20097,007E
uni00A0,98,20098,00A0
exclamdown,99,20099,00A1
cent,100,20100,00A2
sterling,101,20101,00A3
currency,102,20102,00A4
yen,103,20103,00A5
brokenbar,104,20104,00A6
section,105,20105,00A7
dieresis,106,20106,00A8
copyright,107,20107,00A9
ordfeminine,108,20108,00AA
guillemotleft,109,20109,00AB
logicalnot,110,20110,00AC
uni00AD,111,20111,00AD
registered,112,20112,00AE
macron,113,20113,00AF
degree,114,20114,00B0
plusminus,115,20115,00B1
uni00B2,116,20116,00B2
uni00B3,117,20117,00B3
acute,118,20118,00B4
mu,119,20119,00B5
paragraph,120,20120,00B6
periodcentered,121,20121,00B7
cedilla,122,20122,00B8
uni00B9,123,20123,00B9
ordmasculine,124,20124,00BA
guillemotright,125,20125,00BB
onequarter,126,20126,00BC
onehalf,127,20127,00BD
threequarters,128,20128,00BE
questiondown,129,20129,00BF
Agrave,130,20130,00C0
Aacute,131,20131,00C1
Acircumflex,132,20132,00C2
Atilde,133,20133,00C3
Adieresis,134,20134,00C4
Aring,135,20135,00C5
AE,136,20136,00C6
Ccedilla,137,20137,00C7
Egrave,138,20138,00C8
Eacute,139,20139,00C9
Ecircumflex,140,20140,00CA
Edieresis,141,20141,00CB
Igrave,142,20142,00CC
Iacute,143,20143,00CD
Icircumflex,144,20144,00CE
Idieresis,145,20145,00CF
Eth,146,20146,00D0
