glyph_name,sort_final,sort_design,usv
Ntilde,147,20147,00D1
Ograve,148,20148,00D2
Oacute,149,20149,00D3
Ocircumflex,150,20150,00D4
Otilde,151,20151,00D5
Odieresis,152,20152,00D6
multiply,153,20153,00D7
Oslash,154,20154,00D8
Ugrave,155,20155,00D9
Uacute,156,20156,00DA
Ucircumflex,157,20157,00DB
Udieresis,158,20158,00DC
Yacute,159,20159,00DD
Thorn,160,20160,00DE
germandbls,161,20161,00DF
agrave,162,20162,00E0
aacute,163,20163,00E1
acircumflex,164,20164,00E2
atilde,165,20165,00E3
adieresis,166,20166,00E4
aring,167,20167,00E5
ae,168,20168,00E6
ccedilla,169,20169,00E7
egrave,170,20170,00E8
eacute,171,20171,00E9
ecircumflex,172,20172,00EA
edieresis,173,20173,00EB
igrave,174,20174,00EC
iacute,175,20175,00ED
icircumflex,176,20176,00EE
idieresis,177,20177,00EF
eth,178,20178,00F0
ntilde,179,20179,00F1
ograve,180,20180,00F2
oacute,181,20181,00F3
ocircumflex,182,20182,00F4
otilde,183,20183,00F5
odieresis,184,20184,00F6
divide,185,20185,00F7
oslash,186,20186,00F8
ugrave,187,20187,00F9
uacute,188,20188,00FA
ucircumflex,189,20189,00FB
udieresis,190,20190,00FC
yacute,191,20191,00FD
thorn,192,20192,00FE
ydieresis,193,20193,00FF
dotlessi,194,20194,0131
OE,195,20195,0152
oe,196,20196,0153
Scaron,197,20197,0160
scaron,198,20198,0161
Ydieresis,199,20199,0178
Zcaron,200,20200,017D
zcaron,201,20201,017E
florin,202,20202,0192
circumflex,203,20203,02C6
caron,204,20204,02C7
uni02D0,205,20205,02D0
breve,206,20206,02D8
dotaccent,207,20207,02D9
ring,208,20208,02DA
ogonek,209,20209,02DB
tilde,210,20210,02DC
hungarumlaut,211,20211,02DD
uni034F,212,20212,034F
pi,213,20213,03C0
uni2000,214,20214,2000
uni2001,215,20215,2001
uni2002,216,20216,2002
uni2003,217,20217,2003
uni2004,218,20218,2004
uni2005,219,20219,2005
uni2006,220,20220,2006
uni2007,221,20221,2007
uni2008,222,20222,2008
uni2009,223,20223,2009
uni200A,224,20224,200A
uni200B,225,20225,200B
uni200C,226,20226,200C
uni200D,227,20227,200D
uni2010,228,20228,2010
uni2011,229,20229,2011
figuredash,230,20230,2012
endash,231,20231,2013
emdash,232,20232,2014
uni2015,233,20233,2015
quoteleft,234,20234,2018
quoteright,235,20235,2019
quotesinglbase,236,20236,201A
quotedblleft,237,20237,201C
quotedblright,238,20238,201D
quotedblbase,239,20239,201E
dagger,240,20240,2020
daggerdbl,241,20241,2021
bullet,242,20242,2022
ellipsis,243,20243,2026
uni2027,244,20244,2027
uni2028,245,20245,2028
uni2029,246,20246,2029
uni202F,247,20247,202F
perthousand,248,20248,2030
guilsinglleft,249,20249,2039
guilsinglright,250,20250,203A
fraction,251,20251,2044
uni2060,252,20252,2060
uni2074,253,20253,2074
uni2075,254,20254,2075
uni2076,255,20255,2076
uni2077,256,20256,2077
uni2088,257,20257,2088
uni2099,258,20258,2099
Euro,259,20259,20AC
trademark,260,20260,2122
Omega,261,20261,2126
partialdiff,262,20262,2202
Delta,263,20263,2206
product,264,20264,220F
summation,265,20265,2211
minus,266,20266,2212
uni2215,267,20267,2215
uni2219,268,20268,2219
radical,269,20269,221A
infinity,270,20270,221E
integral,271,20271,222B
approxequal,272,20272,2248
notequal,273,20273,2260
lessequal,274,20274,2264
greaterequal,275,20275,2265
uni2423,276,20276,2423
uni2460,277,20277,2460
uni2461,278,20278,2461
uni2462,279,20279,2462
uni2463,280,20280,2463
uni2464,281,20281,2464
uni2465,282,20282,2465
uni2466,283,20283,2466
uni2467,284,20284,2467
uni2468,285,20285,2468
uni2469,286,20286,2469
uni246A,287,20287,246A
uni246B,288,20288,246B
uni246C,289,20289,246C
uni246D,290,20290,246D
uni246E,291,20291,246E
uni246F,292,20292,246F
uni2470,293,20293,2470
uni2471,294,20294,2471
uni2472,295,20295,2472
uni2473,296,20296,2473
lozenge,297,20297,25CA
uni25CC,298,20298,25CC
uni2776,299,20299,2776
uni2777,300,20300,2777
uni2778,301,20301,2778
uni2779,302,20302,2779
uni277A,303,20303,277A
uni277B,304,20304,277B
uni277C,305,20305,277C
uni277D,306,20306,277D
uni277E,307,20307,277E
uni277F,308,20308,277F
uni3000,309,5309,3000
uni3001,310,5310,3001
uni3002,311,5311,3002
uni3003,312,5312,3003
uni3008,313,5313,3008
uni3009,314,5314,3009
uni300A,315,5315,300A
uni300B,316,5316,300B
uni300C,317,5317,300C
uni300D,318,5318,300D
uni300E,319,5319,300E
uni300F,320,5320,300F
uni3010,321,5321,3010
uni3011,322,5322,3011
uni3012,323,5323,3012
uni3013,324,5324,3013
uni3014,325,5325,3014
uni3015,326,5326,3015
uni3016,327,5327,3016
uni3017,328,5328,3017
uni3018,329,5329,3018
uni3019,330,5330,3019
uni301A,331,5331,301A
uni301B,332,5332,301B
uni30FB,333,5333,30FB
uniA000,334,334,A000
uniA001,335,10335,A001
uniA002,336,336,A002
uniA003,337,337,A003
uniA004,338,338,A004
uniA005,339,10339,A005
uniA006,340,340,A006
uniA007,341,341,A007
uniA008,342,342,A008
uniA009,343,10343,A009
uniA00A,344,344,A00A
uniA00B,345,345,A00B
uniA00C,346,10346,A00C
uniA00D,347,347,A00D
uniA00E,348,348,A00E
uniA00F,349,349,A00F
uniA010,350,10350,A010
uniA011,351,351,A011
uniA012,352,352,A012
uniA013,353,10353,A013
uniA014,354,354,A014
uniA015,355,355,A015
uniA016,356,356,A016
uniA017,357,10357,A017
uniA018,358,358,A018
uniA019,359,359,A019
uniA01A,360,360,A01A
uniA01B,361,10361,A01B
uniA01C,362,362,A01C
uniA01D,363,363,A01D
uniA01E,364,364,A01E
uniA01F,365,10365,A01F
uniA020,366,366,A020
uniA021,367,367,A021
uniA022,368,10368,A022
uniA023,369,369,A023
uniA024,370,370,A024
uniA025,371,371,A025
uniA026,372,10372,A026
uniA027,373,373,A027
uniA028,374,374,A028
uniA029,375,10375,A029
uniA02A,376,376,A02A
uniA02B,377,377,A02B
uniA02C,378,378,A02C
uniA02D,379,10379,A02D
uniA02E,380,380,A02E
uniA02F,381,381,A02F
uniA030,382,10382,A030
uniA031,383,383,A031
uniA032,384,384,A032
uniA033,385,10385,A033
uniA034,386,386,A034
uniA035,387,387,A035
uniA036,388,10388,A036
uniA037,389,389,A037
uniA038,390,390,A038
uniA039,391,10391,A039
uniA03A,392,392,A03A
uniA03B,393,393,A03B
uniA03C,394,10394,A03C
uniA03D,395,395,A03D
uniA03E,396,396,A03E
uniA03F,397,397,A03F
uniA040,398,10398,A040
uniA041,399,399,A041
uniA042,400,400,A042
uniA043,401,10401,A043
uniA044,402,402,A044
uniA045,403,403,A045
uniA046,404,404,A046
uniA047,405,10405,A047
uniA048,406,406,A048
uniA049,407,407,A049
uniA04A,408,408,A04A
uniA04B,409,10409,A04B
uniA04C,410,410,A04C
uniA04D,411,411,A04D
uniA04E,412,10412,A04E
uniA04F,413,413,A04F
uniA050,414,414,A050
uniA051,415,10415,A051
uniA052,416,416,A052
uniA053,417,417,A053
uniA054,418,10418,A054
uniA055,419,419,A055
uniA056,420,420,A056
uniA057,421,10421,A057
uniA058,422,422,A058
uniA059,423,423,A059
uniA05A,424,424,A05A
uniA05B,425,10425,A05B
uniA05C,426,426,A05C
uniA05D,427,427,A05D
uniA05E,428,428,A05E
uniA05F,429,10429,A05F
uniA060,430,430,A060
uniA061,431,431,A061
uniA062,432,10432,A062
uniA063,433,433,A063
uniA064,434,434,A064
uniA065,435,435,A065
uniA066,436,10436,A066
uniA067,437,437,A067
uniA068,438,438,A068
uniA069,439,10439,A069
uniA06A,440,440,A06A
uniA06B,441,441,A06B
uniA06C,442,442,A06C
uniA06D,443,10443,A06D
uniA06E,444,444,A06E
uniA06F,445,445,A06F
uniA070,446,10446,A070
uniA071,447,447,A071
uniA072,448,448,A072
uniA073,449,10449,A073
uniA074,450,450,A074
uniA075,451,451,A075
uniA076,452,452,A076
uniA077,453,10453,A077
uniA078,454,454,A078
uniA079,455,455,A079
uniA07A,456,10456,A07A
uniA07B,457,457,A07B
uniA07C,458,458,A07C
uniA07D,459,459,A07D
uniA07E,460,10460,A07E
uniA07F,461,461,A07F
uniA080,462,462,A080
uniA081,463,463,A081
uniA082,464,10464,A082
uniA083,465,465,A083
uniA084,466,466,A084
uniA085,467,467,A085
uniA086,468,10468,A086
uniA087,469,469,A087
uniA088,470,470,A088
uniA089,471,10471,A089
uniA08A,472,472,A08A
uniA08B,473,473,A08B
uniA08C,474,10474,A08C
uniA08D,475,475,A08D
uniA08E,476,476,A08E
uniA08F,477,10477,A08F
uniA090,478,478,A090
uniA091,479,479,A091
uniA092,480,10480,A092
uniA093,481,481,A093
uniA094,482,482,A094
uniA095,483,10483,A095
uniA096,484,484,A096
uniA097,485,485,A097
uniA098,486,486,A098
uniA099,487,10487,A099
uniA09A,488,488,A09A
uniA09B,489,489,A09B
uniA09C,490,10490,A09C
uniA09D,491,491,A09D
uniA09E,492,492,A09E
uniA09F,493,493,A09F
uniA0A0,494,10494,A0A0
uniA0A1,495,495,A0A1
uniA0A2,496,496,A0A2
uniA0A3,497,497,A0A3
uniA0A4,498,10498,A0A4
uniA0A5,499,499,A0A5
uniA0A6,500,500,A0A6
uniA0A7,501,10501,A0A7
uniA0A8,502,502,A0A8
uniA0A9,503,10503,A0A9
uniA0AA,504,504,A0AA
uniA0AB,505,505,A0AB
uniA0AC,506,10506,A0AC
uniA0AD,507,507,A0AD
uniA0AE,508,508,A0AE
uniA0AF,509,10509,A0AF
uniA0B0,510,510,A0B0
uniA0B1,511,511,A0B1
uniA0B2,512,10512,A0B2
uniA0B3,513,513,A0B3
uniA0B4,514,514,A0B4
uniA0B5,515,515,A0B5
uniA0B6,516,10516,A0B6
uniA0B7,517,517,A0B7
uniA0B8,518,518,A0B8
uniA0B9,519,519,A0B9
uniA0BA,520,10520,A0BA
uniA0BB,521,521,A0BB
uniA0BC,522,522,A0BC
uniA0BD,523,523,A0BD
uniA0BE,524,10524,A0BE
uniA0BF,525,525,A0BF
uniA0C0,526,526,A0C0
uniA0C1,527,10527,A0C1
uniA0C2,528,528,A0C2
uniA0C3,529,529,A0C3
uniA0C4,530,10530,A0C4
uniA0C5,531,531,A0C5
uniA0C6,532,532,A0C6
uniA0C7,533,10533,A0C7
uniA0C8,534,534,A0C8
uniA0C9,535,535,A0C9
uniA0CA,536,10536,A0CA
uniA0CB,537,537,A0CB
uniA0CC,538,538,A0CC
uniA0CD,539,539,A0CD
uniA0CE,540,10540,A0CE
uniA0CF,541,541,A0CF
uniA0D0,542,542,A0D0
uniA0D1,543,543,A0D1
uniA0D2,544,10544,A0D2
uniA0D3,545,545,A0D3
uniA0D4,546,546,A0D4
uniA0D5,547,10547,A0D5
uniA0D6,548,548,A0D6
uniA0D7,549,549,A0D7
uniA0D8,550,550,A0D8
uniA0D9,551,10551,A0D9
uniA0DA,552,552,A0DA
uniA0DB,553,553,A0DB
uniA0DC,554,10554,A0DC
uniA0DD,555,555,A0DD
uniA0DE,556,556,A0DE
uniA0DF,557,10557,A0DF
uniA0E0,558,558,A0E0
uniA0E1,559,559,A0E1
uniA0E2,560,560,A0E2
uniA0E3,561,10561,A0E3
uniA0E4,562,562,A0E4
uniA0E5,563,563,A0E5
uniA0E6,564,564,A0E6
uniA0E7,565,10565,A0E7
uniA0E8,566,566,A0E8
uniA0E9,567,567,A0E9
uniA0EA,568,568,A0EA
uniA0EB,569,10569,A0EB
uniA0EC,570,570,A0EC
uniA0ED,571,571,A0ED
uniA0EE,572,572,A0EE
uniA0EF,573,10573,A0EF
uniA0F0,574,574,A0F0
uniA0F1,575,575,A0F1
uniA0F2,576,10576,A0F2
uniA0F3,577,577,A0F3
uniA0F4,578,578,A0F4
uniA0F5,579,10579,A0F5
uniA0F6,580,580,A0F6
uniA0F7,581,581,A0F7
uniA0F8,582,10582,A0F8
uniA0F9,583,583,A0F9
uniA0FA,584,584,A0FA
uniA0FB,585,10585,A0FB
uniA0FC,586,586,A0FC
uniA0FD,587,587,A0FD
uniA0FE,588,10588,A0FE
uniA0FF,589,589,A0FF
uniA100,590,590,A100
uniA101,591,10591,A101
uniA102,592,592,A102
uniA103,593,593,A103
uniA104,594,10594,A104
uniA105,595,595,A105
uniA106,596,596,A106
uniA107,597,597,A107
uniA108,598,10598,A108
uniA109,599,599,A109
uniA10A,600,600,A10A
uniA10B,601,10601,A10B
uniA10C,602,602,A10C
uniA10D,603,603,A10D
uniA10E,604,10604,A10E
uniA10F,605,605,A10F
uniA110,606,606,A110
uniA111,607,10607,A111
uniA112,608,608,A112
uniA113,609,609,A113
uniA114,610,610,A114
uniA115,611,10611,A115
uniA116,612,612,A116
uniA117,613,613,A117
uniA118,614,10614,A118
uniA119,615,615,A119
uniA11A,616,616,A11A
uniA11B,617,10617,A11B
uniA11C,618,618,A11C
uniA11D,619,619,A11D
uniA11E,620,10620,A11E
uniA11F,621,621,A11F
uniA120,622,622,A120
uniA121,623,623,A121
uniA122,624,10624,A122
uniA123,625,625,A123
uniA124,626,626,A124
uniA125,627,627,A125
uniA126,628,10628,A126
uniA127,629,629,A127
uniA128,630,630,A128
uniA129,631,631,A129
uniA12A,632,10632,A12A
uniA12B,633,633,A12B
uniA12C,634,634,A12C
uniA12D,635,10635,A12D
uniA12E,636,636,A12E
uniA12F,637,637,A12F
uniA130,638,638,A130
uniA131,639,10639,A131
uniA132,640,640,A132
uniA133,641,641,A133
uniA134,642,10642,A134
uniA135,643,643,A135
uniA136,644,644,A136
uniA137,645,10645,A137
uniA138,646,646,A138
uniA139,647,647,A139
uniA13A,648,10648,A13A
uniA13B,649,649,A13B
uniA13C,650,650,A13C
uniA13D,651,651,A13D
uniA13E,652,10652,A13E
uniA13F,653,653,A13F
uniA140,654,654,A140
uniA141,655,10655,A141
uniA142,656,656,A142
uniA143,657,657,A143
uniA144,658,658,A144
uniA145,659,10659,A145
uniA146,660,660,A146
uniA147,661,661,A147
uniA148,662,10662,A148
uniA149,663,663,A149
uniA14A,664,664,A14A
uniA14B,665,665,A14B
uniA14C,666,10666,A14C
uniA14D,667,667,A14D
uniA14E,668,668,A14E
uniA14F,669,10669,A14F
uniA150,670,670,A150
uniA151,671,671,A151
uniA152,672,10672,A152
uniA153,673,673,A153
uniA154,674,674,A154
uniA155,675,10675,A155
uniA156,676,676,A156
uniA157,677,677,A157
uniA158,678,10678,A158
uniA159,679,679,A159
uniA15A,680,680,A15A
uniA15B,681,681,A15B
uniA15C,682,10682,A15C
uniA15D,683,683,A15D
uniA15E,684,684,A15E
uniA15F,685,10685,A15F
uniA160,686,686,A160
uniA161,687,687,A161
uniA162,688,688,A162
uniA163,689,10689,A163
uniA164,690,690,A164
uniA165,691,691,A165
uniA166,692,10692,A166
uniA167,693,693,A167
uniA168,694,694,A168
uniA169,695,10695,A169
uniA16A,696,696,A16A
uniA16B,697,697,A16B
uniA16C,698,698,A16C
uniA16D,699,10699,A16D
uniA16E,700,700,A16E
uniA16F,701,701,A16F
uniA170,702,702,A170
uniA171,703,10703,A171
uniA172,704,704,A172
uniA173,705,705,A173
uniA174,706,10706,A174
uniA175,707,707,A175
uniA176,708,708,A176
uniA177,709,10709,A177
uniA178,710,710,A178
uniA179,711,10711,A179
uniA17A,712,712,A17A
uniA17B,713,713,A17B
uniA17C,714,714,A17C
uniA17D,715,715,A17D
uniA17E,716,10716,A17E
uniA17F,717,717,A17F
uniA180,718,718,A180
uniA181,719,10719,A181
uniA182,720,720,A182
uniA183,721,721,A183
uniA184,722,10722,A184
uniA185,723,723,A185
uniA186,724,724,A186
uniA187,725,10725,A187
uniA188,726,726,A188
uniA189,727,727,A189
uniA18A,728,728,A18A
uniA18B,729,10729,A18B
uniA18C,730,730,A18C
uniA18D,731,731,A18D
uniA18E,732,10732,A18E
uniA18F,733,733,A18F
uniA190,734,734,A190
uniA191,735,735,A191
uniA192,736,10736,A192
uniA193,737,737,A193
uniA194,738,738,A194
uniA195,739,10739,A195
uniA196,740,740,A196
uniA197,741,741,A197
uniA198,742,10742,A198
uniA199,743,743,A199
uniA19A,744,744,A19A
uniA19B,745,10745,A19B
uniA19C,746,746,A19C
uniA19D,747,747,A19D
uniA19E,748,748,A19E
uniA19F,749,10749,A19F
uniA1A0,750,750,A1A0
uniA1A1,751,751,A1A1
uniA1A2,752,10752,A1A2
uniA1A3,753,753,A1A3
uniA1A4,754,754,A1A4
uniA1A5,755,10755,A1A5
uniA1A6,756,756,A1A6
uniA1A7,757,757,A1A7
uniA1A8,758,10758,A1A8
uniA1A9,759,759,A1A9
uniA1AA,760,760,A1AA
uniA1AB,761,761,A1AB
uniA1AC,762,10762,A1AC
uniA1AD,763,763,A1AD
uniA1AE,764,764,A1AE
uniA1AF,765,10765,A1AF
uniA1B0,766,766,A1B0
uniA1B1,767,767,A1B1
uniA1B2,768,10768,A1B2
uniA1B3,769,769,A1B3
uniA1B4,770,770,A1B4
uniA1B5,771,10771,A1B5
uniA1B6,772,772,A1B6
uniA1B7,773,773,A1B7
uniA1B8,774,10774,A1B8
uniA1B9,775,775,A1B9
uniA1BA,776,776,A1BA
uniA1BB,777,777,A1BB
uniA1BC,778,10778,A1BC
uniA1BD,779,779,A1BD
uniA1BE,780,780,A1BE
uniA1BF,781,781,A1BF
uniA1C0,782,10782,A1C0
uniA1C1,783,783,A1C1
uniA1C2,784,784,A1C2
uniA1C3,785,785,A1C3
uniA1C4,786,10786,A1C4
uniA1C5,787,787,A1C5
uniA1C6,788,788,A1C6
uniA1C7,789,789,A1C7
uniA1C8,790,10790,A1C8
uniA1C9,791,791,A1C9
uniA1CA,792,792,A1CA
uniA1CB,793,10793,A1CB
uniA1CC,794,794,A1CC
uniA1CD,795,795,A1CD
uniA1CE,796,796,A1CE
uniA1CF,797,10797,A1CF
uniA1D0,798,798,A1D0
uniA1D1,799,799,A1D1
uniA1D2,800,10800,A1D2
uniA1D3,801,801,A1D3
uniA1D4,802,802,A1D4
uniA1D5,803,10803,A1D5
uniA1D6,804,804,A1D6
uniA1D7,805,805,A1D7
uniA1D8,806,10806,A1D8
uniA1D9,807,807,A1D9
uniA1DA,808,808,A1DA
uniA1DB,809,10809,A1DB
uniA1DC,810,810,A1DC
uniA1DD,811,811,A1DD
uniA1DE,812,812,A1DE
uniA1DF,813,10813,A1DF
uniA1E0,814,814,A1E0
uniA1E1,815,815,A1E1
uniA1E2,816,816,A1E2
uniA1E3,817,10817,A1E3
uniA1E4,818,818,A1E4
uniA1E5,819,819,A1E5
uniA1E6,820,820,A1E6
uniA1E7,821,10821,A1E7
uniA1E8,822,822,A1E8
uniA1E9,823,823,A1E9
uniA1EA,824,824,A1EA
uniA1EB,825,10825,A1EB
uniA1EC,826,826,A1EC
uniA1ED,827,827,A1ED
uniA1EE,828,828,A1EE
uniA1EF,829,10829,A1EF
uniA1F0,830,830,A1F0
uniA1F1,831,831,A1F1
uniA1F2,832,832,A1F2
uniA1F3,833,10833,A1F3
uniA1F4,834,834,A1F4
uniA1F5,835,835,A1F5
uniA1F6,836,10836,A1F6
uniA1F7,837,837,A1F7
uniA1F8,838,838,A1F8
uniA1F9,839,10839,A1F9
uniA1FA,840,840,A1FA
uniA1FB,841,841,A1FB
uniA1FC,842,10842,A1FC
uniA1FD,843,843,A1FD
uniA1FE,844,844,A1FE
uniA1FF,845,845,A1FF
uniA200,846,10846,A200
uniA201,847,847,A201
uniA202,848,848,A202
uniA203,849,10849,A203
uniA204,850,850,A204
uniA205,851,851,A205
uniA206,852,852,A206
uniA207,853,10853,A207
uniA208,854,854,A208
uniA209,855,855,A209
uniA20A,856,856,A20A
uniA20B,857,10857,A20B
uniA20C,858,858,A20C
uniA20D,859,859,A20D
uniA20E,860,860,A20E
uniA20F,861,10861,A20F
uniA210,862,862,A210
uniA211,863,863,A211
uniA212,864,10864,A212
uniA213,865,865,A213
uniA214,866,866,A214
uniA215,867,10867,A215
uniA216,868,868,A216
uniA217,869,10869,A217
uniA218,870,870,A218
uniA219,871,871,A219
uniA21A,872,872,A21A
uniA21B,873,10873,A21B
uniA21C,874,874,A21C
uniA21D,875,875,A21D
uniA21E,876,876,A21E
uniA21F,877,10877,A21F
uniA220,878,878,A220
uniA221,879,879,A221
uniA222,880,880,A222
uniA223,881,10881,A223
uniA224,882,882,A224
uniA225,883,883,A225
uniA226,884,884,A226
uniA227,885,10885,A227
uniA228,886,886,A228
uniA229,887,887,A229
uniA22A,888,888,A22A
uniA22B,889,10889,A22B
uniA22C,890,890,A22C
uniA22D,891,891,A22D
uniA22E,892,10892,A22E
uniA22F,893,893,A22F
uniA230,894,10894,A230
uniA231,895,895,A231
uniA232,896,896,A232
uniA233,897,10897,A233
uniA234,898,898,A234
uniA235,899,899,A235
uniA236,900,10900,A236
uniA237,901,901,A237
uniA238,902,902,A238
uniA239,903,903,A239
uniA23A,904,10904,A23A
uniA23B,905,905,A23B
uniA23C,906,906,A23C
uniA23D,907,10907,A23D
uniA23E,908,908,A23E
uniA23F,909,909,A23F
uniA240,910,910,A240
uniA241,911,10911,A241
uniA242,912,912,A242
uniA243,913,913,A243
uniA244,914,10914,A244
uniA245,915,915,A245
uniA246,916,916,A246
uniA247,917,10917,A247
uniA248,918,918,A248
uniA249,919,919,A249
uniA24A,920,920,A24A
uniA24B,921,10921,A24B
uniA24C,922,922,A24C
uniA24D,923,923,A24D
uniA24E,924,924,A24E
uniA24F,925,10925,A24F
uniA250,926,926,A250
uniA251,927,927,A251
uniA252,928,928,A252
uniA253,929,10929,A253
uniA254,930,930,A254
uniA255,931,931,A255
uniA256,932,932,A256
uniA257,933,10933,A257
uniA258,934,934,A258
uniA259,935,935,A259
uniA25A,936,10936,A25A
uniA25B,937,937,A25B
uniA25C,938,938,A25C
uniA25D,939,10939,A25D
uniA25E,940,940,A25E
uniA25F,941,941,A25F
uniA260,942,942,A260
uniA261,943,10943,A261
uniA262,944,944,A262
uniA263,945,945,A263
uniA264,946,946,A264
uniA265,947,10947,A265
uniA266,948,948,A266
uniA267,949,949,A267
uniA268,950,10950,A268
uniA269,951,951,A269
uniA26A,952,952,A26A
uniA26B,953,10953,A26B
uniA26C,954,954,A26C
uniA26D,955,955,A26D
uniA26E,956,956,A26E
uniA26F,957,10957,A26F
uniA270,958,958,A270
uniA271,959,959,A271
uniA272,960,10960,A272
uniA273,961,961,A273
uniA274,962,962,A274
uniA275,963,963,A275
uniA276,964,10964,A276
uniA277,965,965,A277
uniA278,966,966,A278
uniA279,967,967,A279
uniA27A,968,10968,A27A
uniA27B,969,969,A27B
uniA27C,970,970,A27C
uniA27D,971,10971,A27D
uniA27E,972,972,A27E
uniA27F,973,973,A27F
uniA280,974,974,A280
uniA281,975,10975,A281
uniA282,976,976,A282
uniA283,977,977,A283
uniA284,978,10978,A284
uniA285,979,979,A285
uniA286,980,980,A286
uniA287,981,10981,A287
uniA288,982,982,A288
uniA289,983,983,A289
uniA28A,984,10984,A28A
uniA28B,985,985,A28B
uniA28C,986,986,A28C
uniA28D,987,987,A28D
uniA28E,988,10988,A28E
uniA28F,989,989,A28F
uniA290,990,990,A290
uniA291,991,10991,A291
uniA292,992,992,A292
uniA293,993,993,A293
uniA294,994,994,A294
uniA295,995,10995,A295
uniA296,996,996,A296
uniA297,997,997,A297
uniA298,998,10998,A298
uniA299,999,999,A299
uniA29A,1000,1000,A29A
uniA29B,1001,1001,A29B
uniA29C,1002,11002,A29C
uniA29D,1003,1003,A29D
uniA29E,1004,1004,A29E
uniA29F,1005,11005,A29F
uniA2A0,1006,1006,A2A0
uniA2A1,1007,1007,A2A1
uniA2A2,1008,1008,A2A2
uniA2A3,1009,11009,A2A3
uniA2A4,1010,1010,A2A4
uniA2A5,1011,1011,A2A5
uniA2A6,1012,11012,A2A6
uniA2A7,1013,1013,A2A7
uniA2A8,1014,1014,A2A8
uniA2A9,1015,11015,A2A9
uniA2AA,1016,1016,A2AA
uniA2AB,1017,1017,A2AB
uniA2AC,1018,11018,A2AC
uniA2AD,1019,1019,A2AD
uniA2AE,1020,1020,A2AE
uniA2AF,1021,11021,A2AF
uniA2B0,1022,1022,A2B0
uniA2B1,1023,1023,A2B1
